ID	店名	一级标签	二级标签	电话	描述
1010011700040022	哥弟	服装	女装		哥弟，台湾服装品牌名称，创立于1977年。品牌分为：哥弟、阿玛施、易俪和梅四个系列。[1] 
1010011700040023	美吉姆	儿童母婴	儿童用品 		My Gym美吉姆，享誉世界的全球早教领导品牌，于1983年由凯普林(William Caplin)和 雅可夫/苏西 谢尔曼夫妇(Yakov& Susi Sherman)在美国加州洛杉矶合作创立，利用其在儿童早期教育、运动机能学、体育、舞蹈以及体操领域的专业经验，研发出了一套完整的符合孩子天性的课程体系和教学设备，旨在通过丰富、科学、适龄的课程体系，帮助孩子构建强健的心智和人格，培养良好的社交能力，同时树立自尊心和自信心。
1010011700040024	英孚教育少儿	儿童母婴	儿童用品 	4009200728	EF的全称“English First”，于1965年由Bertil Hult创办。EF属于私有企业，旗下有16个下属机构及非盈利性组织，提供各种教育类课程，包括语言学习、留学旅游及学位课程以及文化交流。本着“打破语言、文化以及地理位置带来的障碍”的使命 ，EF帮助了各年龄和国际的人成为了世界公民的一员。 如今，EF 英孚教育遍布全球52个国家，员工多达37000多人，帮助了1500多万学员，EF 英孚教育已经把世界变成了一个英语大课堂。
1010011700040025	指缘风情	其他	化妆品	56102201	
1010011700040026	La Beaute美发沙龙	其他	化妆品		
1010011700040027	利郎	服装	男装		利郎集团，由王氏三兄弟——王冬星、王良星、王聪星始创于1987年，于国内首倡“商务休闲”男装概念，经过20多年探索，已发展成为集设计、产品开发、生产、营销于一体的中国商务男装领军品牌，并于2007及2008连续两年被《福布斯》评为“中国最具潜力企业”之一。
1010011700040028	J&M	服装	男装		J&M是时尚鞋类品牌的代名词，它有一个时尚的中文名字——玛丽鞋。玛丽鞋被很多FANS称为“姐妹鞋”、“逛街鞋”，因为玛丽鞋穿起来极其轻便、舒适，显得特别个性、时尚，几乎成为逛街、购物一族的必备利器。
1010011700040029	娇鼎	服装	女装	010-82834936	JDING娇鼎------- “外优内雅”的代名词，“娇”代表“外在形象优”，“鼎”代表“内在德行雅”，“娇鼎”以优雅的日常女装而闻名京城。
1010011700040030	基本生活			010-60603238	
1010011700040031	悠游堂	儿童母婴	儿童用品	4001110601?82834501	悠游堂是国内知名的家庭亲子娱乐连锁品牌，分布在全国多个城市的购物中心。旗下门店分布在北京、上海、广州、深圳、重庆、南京、成都、大连、合肥、武汉、杭州、西安等全国多个城市，倡导“安全、爱心、勇气、梦想”的理念，为中国儿童家庭提供高品质的游乐体验及相关服务。
1010011700040032	仙妮蕾德	其他	化妆品		仙妮蕾德是一家跨国企业，有超过25年稳定的成功经营史，在全世界有数以百万计的经销伙伴及顾客，其业务遍及全球42个国家和地区。总部设在美国加州托伦斯市，在中国，我们拥有7000多间特许经营店。在2008年中，在中国开设共26间仙妮蕾德分公司。仙妮蕾德产品质优，我们在自设的高科技生产厂房自行研发和制造独特、浓缩、高效与质优的产品，我们的产品包括草本营养食品、护肤品、彩妆品及家居用品等。
1010011700040033					
1010011700040034					
1010011700040035	普安药房	儿童母婴	母婴用品		
1010011700040036	None	其他	化妆品		N-ONE视觉摄影 NONE： N中取一，代表优秀的意思 ，成都一家个性化摄影工作室，非常适合80后婚纱摄影风格~是成都婚纱摄影工作室
1010011700040037	天才宝贝	儿童母婴	儿童用品		
1010011700040038	七匹狼	服装	男装		公司主导服装开发、生产、销售，拥有“七匹狼”男装品牌，是以品牌经营为核心的上市公司，公司是以经营七匹狼品牌男休闲装的大型企业，是科技厅认定高新技术企业。拥有上海、香港、东京三个研发中心，世界上先进的电脑自动化生产设备，国际标准化、封闭式的工业园，是目前国内高级男休闲装的代表，在全国休闲服装行业中名列前茅，是全国休闲装协会副主任委员单位。公司现已成长为一个以服装为核心产业，经营涉及皮具、鞋业、商务礼品等多领域的综合性企业。
1010011700040039	必胜客	餐饮	快餐	4008123123	必胜客是比萨专卖连锁企业之一，由法兰克·卡尼和丹·卡尼两兄弟在1958年，凭著由母亲借来的$600美元于美国堪萨斯州威奇托创立首间必胜客。它的标识特点是把屋顶作为餐厅外观显著标志。
1010011700040040	天然故事	服装	女装		
1010011700040041	meejoy	儿童母婴	儿童用品		
1010011700040042	honeys	服装	女装		Honeys是一个在日本非常有影响力的Fast Fashion品牌! 主要经营年轻时尚的女装， Honeys面料精良，做工精致，时尚动感，具有显著个性。
1010011700040043	La Chapelle	服装	女装		拉夏贝尔（La Chapelle）品牌始创于1998年，是来自上海的经典之作，并将法兰西民族的浪漫、时尚、优雅服饰引入了中国人的生活。拉夏贝尔一直追求强调个性化的设计， 是将设计渗透人文文化的时尚品牌。拉夏贝尔设计和销售适合都市女性的流行时装和饰品，将法国浪漫、时尚、优雅的服饰文化引入到中国人的生活中。
1010011700040044	page one	服装	女装		PAGE ONE，中文名称佩吉，寓意来自欧洲的生活方式——每一天每一步都是一个全新的开始。PAGE ONE的品牌灵感源自于欧洲人的生活观，严谨积极的工作态度，轻松快乐的生活方式。品牌设计师兼创始人在游历欧洲后，希望将欧洲时尚的生活带入中国，因此创立了PAGE ONE服饰品牌，为消费者打造一个具有优雅魅力、精致体验的时尚品牌。
1010011700040045	eee	服装	女装		
1010011700040046	璟益智天地	儿童母婴	儿童用品		
1010011700040047	carrera	其他	钟表		
1010011700040048	酷玩无限	儿童母婴	儿童用品		
1010011700040049	彩玉坊	其他	珠宝工艺品		
1010011700040050	呷哺呷哺	餐饮	正餐		呷哺呷哺（Xiā Bǔ Xiā Bǔ）餐饮管理有限公司始创于1998年，是一家外商投资、国内首创、最大规模的吧台式涮锅连锁企业。公司三部设在北京大兴区孙村工业开发区，占地30亩。由综合办公楼、生产加工基地、研发中心、中央厨房、配送中心以及各职能部门组成。截至目前，呷哺呷哺公司已在北京、天津发展门店数量超过60家，计划2009年分店数量超过100家。
1010011700040051	POLO	服装	男装		
1010011700040052	头彩	其他	化妆品	18500131670, 18501360976	
1010011700040053	swisswin	服装	女装		福建祥兴箱包材料公司以前是瑞士军刀的WENGER代工厂家。
1010011700040054	耐尔	服装	女装		耐尔（Naier）品牌为耐尔集团主力打造旗下七大品牌之一，品牌定位为大众袜品、内衣系列。
1010011700040055	ruke house				
1010011700040056	茶马云南	其他	化妆品		“茶马云南”民族饰品连锁是北京茶马国际文化传播有限公司旗下品牌，发源于美丽而神秘的云南，历经多年发展，公司走出云南，植根北京，面向国际，现已成为具有广泛影响力的民族文化传播及相关产业的领跑者。民族饰品专家，手工制作天堂，全国连锁加盟。
1010011700040057	韩银尚	其他	珠宝工艺品		
1010011700040058	凹凸	服装	女装		
1010011700040059	沃尔玛	超市	超市	010-82816936	沃尔玛公司（Wal-Mart Stores, Inc.）（NYSE：WMT）是一家美国的世界性连锁企业，以营业额计算为全球最大的公司，其控股人为沃尔顿家族。总部位于美国阿肯色州的本顿维尔。沃尔玛主要涉足零售业，是世界上雇员最多的企业，连续三年在美国《财富》杂志世界500强企业中居首。沃尔玛公司有8500家门店，分布于全球15个国家。沃尔玛在美国50个州和波多黎各运营。沃尔玛主要有沃尔玛购物广场、山姆会员店、沃尔玛商店、沃尔玛社区店等四种营业态式。
1010011700050000	便宜坊	餐饮	正餐	010-82816889/82816839	便宜坊烤鸭店是北京著名的“中华老字号”饭庄，创业于明朝永乐十四年（公元1416年），至今已有近600年的历史。2001年通过了ISO9001国际质量体系认证，现为国家特级酒家。“便宜坊” 字号蕴涵了“便利人民，宜室宜家”的经营理念，形成了以焖炉烤鸭为龙头，鲁菜为基础的菜品特色。烤鸭外酥里嫩，口味鲜美，享有盛誉。因焖炉烤鸭在烤制过程中不见明火，所以被现代人称为“绿色烤鸭”。
1010011700050001	麻里麻里香锅	餐饮	正餐	010-82816865	
1010011700050002	太平洋咖啡	餐饮	咖啡厅	010-82815212	太平洋咖啡是香港及澳门一个连锁美式咖啡店品牌，在香港是最大的咖啡连锁店之一。
1010011700050003	五彩冰酷运动中心	体育	体育用品	010-82816668?82616668	
1010011700050004	会员中心				
1010011700050005	巴拉巴拉	服装	儿童装	010-63277366	巴拉巴拉，中国著名休闲品牌森马所有者中国森马集团2002年在香港创建的童装品牌，以童装休闲为切入点，以“高起点，高档次，低价位”为经营发展战略，以“务实，开拓，创新”为经营理念，以“休闲，时尚，运动，健康”的都市化风格，获得了市场和消费者的高度认可。
1010011700050006	柏斯琴行	体育	体育用品		柏斯琴行在1986年创立于香港，经过20多年的快速发展，现已成为中国最具规模及知名度的乐器连锁专卖店。
1010011700050007	水孩儿	服装	儿童装		水孩儿"童装品牌， 1995年创立于中国北京。法文品牌名"SOUHAIT"，是中国本土最早的童装品牌。 中文品牌名"水孩儿"，品牌取意于"孩子像水一样的纯净透彻、活泼灵动"；法文品牌名"SOUHAIT"，源自法语，取"希望、美好的祝愿"之意，意指"孩子就是世界的希望，是我们美好的明天"。“水孩儿”童装品牌1995年诞生，主要服务于2-15岁少年儿童，开发以中式为特色，结合休闲、运动风格的各种系列服装产品。
1010011700050008	泼泼龙俱乐部	儿童母婴	儿童用品 	010-82834789	在法国，每个孩子的生命中，一定会有一个心爱的茉兰若缇MOULIN ROTY布偶娃娃等物品，被孩子视若珍宝、异常依赖，无论走到哪里都要带着它。就算年龄逐渐增长，娃娃布偶被脏了、旧了，但对孩子来说，这个布偶娃娃是陪伴孩童一起长大的好朋友，是他童年生活里很重要的角色，它存在的意义与地位，不是普通对象可以取代的。
1010011700050009	本色棉	服装	儿童装		本色棉是Naturecolored的中文品牌，Naturecolored是全球领先采用有机棉、天然彩棉、植物纤维等环保面料为主的婴儿服饰用品品牌，Naturecolored之前主要定位于、美国、欧盟、英国、澳大利亚、加拿大等海外国家销售，2010年Naturecolored进入中国市场，中文品牌为“本色棉”。
1010011700050010	adidas kids	体育	体育用品		
1010011700050011	NIKE KIDS	体育	体育用品		耐克Kids是全球运动产品第一品牌耐克推出的耐克儿童产品系列，为8-14岁的儿童提供品质优秀、功能突出的个性化专业运动、休闲产品。总部位于美国俄勒冈州Beaverton的耐克公司是全球著名的体育用品制造商。该公司生产的体育用品包罗万象：服装，鞋类，运动器材等等。
1010011700050012	英氏	儿童母婴	母婴用品		英氏是国内知名的婴幼儿食品品牌，旗下产品包括婴幼儿配方奶粉及米粉、清清葆、面条、肉酥、葡萄糖、饼干等多个婴幼儿辅食系列。英氏销售网络遍及中国大陆30多个省、市、自治区。英氏以“精致营养”为理念，提供均衡全面的营养补充，为中国宝宝专属定制奶粉，将世界级品质、可全程透明追溯的英氏Smile婴幼儿配方奶粉带给中国宝宝，帮助宝宝健康快乐成长。
1010011700050013	I-Baby	儿童母婴	儿童用品	15110013958	i-baby是中国高端婴童领先品牌，涵盖世界顶级童床、童车、婴童服装、婴童家纺、儿童礼服等产品。秉承“天地之美，良心品质”的经营理念和“让下一代高贵成长”的企业使命，全面满足中国婴幼儿家庭的核心基本需求。
1010011700050014	rooKie	服装	儿童装		
1010011700050015	DorDor Horse	服装	儿童装		
1010011700050016	丽家宝贝	儿童母婴	母婴用品	010-82834167 82834168	丽家宝贝于2003年成立于北京，经过不懈努力，建立起了中国目前最大、最先进的专业化育婴产品零售通路。集产品目录销售、连锁专卖店、网上购物、综合育儿服务为一体的新型服务模式的建立，使丽家宝贝成为中国育婴行业中发展最快的领先企业。
1010011700050017	珍仕菓	餐饮	冷饮	(010)60603018	Jazcu Juice Bars (珍仕菓鲜榨果汁吧)的理念源自澳大利亚，一个美丽清新、崇尚自然的国度。Jazcu的几位创始人均曾旅居澳洲，在澳洲自然、健康的生活体验以及对环保事业的热爱、对新鲜事物的追求，成为他们创办珍仕菓的灵感来源。
1010011700050018	甜心甜	餐饮	零食	010-57221010?82810559	
1010011700050019	妈妈好孩子	儿童母婴	母婴用品	010-62740260	妈妈好孩子是服务于全国范围的精品母婴生活馆，旗下包括实体门店、邮购目录、电子商城三种购物渠道。公司由中国最大的婴童用品供应和服务商——好孩子集团一手打造，妈妈好孩子的理念是“服务未来”，专注孕妇及0-5岁宝宝，全力为女性孕产阶段及婴幼儿成长提供最好的产品和服务。
1010011700050020	Snoopy餐厅	餐饮	正餐	010-62740475	
1010011700050021	KAMINEY	服装	儿童装		
1010011700050022	小木棉	儿童母婴	儿童用品	18701539942	
1010011700050023	仙踪林	餐饮	正餐	010-82834722	仙踪林(RBT)于1996年踏足香港，透过现代化的管理方法和完善的特许经营制度，在休闲餐饮行业独竖一帜，为消费者提供特式美味餐饮，因而能在短短几年间，于香港、台湾、中国大陆、加拿大、澳洲、马来西亚及菲律宾等地开设一百多家分店。
1010011700050024	史努比乐园	儿童母婴	儿童用品	(010)62740475	
1010011700050025	益和木	儿童母婴	儿童用品		
1010011700050026	春天河谷	儿童母婴	儿童用品		
1010011700050027	疯狂4D影酷	室内娱乐	电影院	13121828560/13263404142	
1010011700050028	探奇乐园	儿童母婴	儿童用品	010-82834415	公司自成立以来，始终坚持“欢乐、亲情、奇趣、浪漫”的经营理念，保持健康、文明、科学、和谐的发展方向，成功创建了以注册商标“嘟噜岛”、“探奇乐园”为主要动漫品牌的游乐场，并拥有自主知识产权的多款动漫卡通形象。公司在“绿色游戏”概念的引领下，远离黄、赌、毒，始终保持健康、文明、科学、和谐的发展方向。
1010011700050029	玩具反斗城	儿童母婴	儿童用品	010-82810510??4008868828	玩具反斗城（英语：Toys "R" Us，在其标志中的写法是Toys "Я" Us）是全球最大的玩具及婴幼儿用品零售商，通过整合各类品牌，向消费者提供全方位及一站式的购物体验。
1010011700050030	麻辣诱惑	餐饮	正餐	010-82816797	麻辣诱惑集团由2002年创始于北京，旗下品牌包括麻辣诱惑品牌餐厅、麻辣诱惑食品和麻辣诱惑滚烫秀火锅三大高端品牌，是中国最具发展潜力、值得信赖的餐饮服务管理集团。现在北京已经有14家直营店，上海7家直营店，在2012年6月天津第二家直营餐饮店，大悦城店即将开业，同月将在南京开设一家直营店。...后续将会遍布全国。
1010011700050031	爱慕kids	服装	儿童装		
1010011700050032	芝麻开门	儿童母婴	儿童用品	010-56135600	
1010011700050033	小骆驼	服装	儿童装		
1010011700050034	望湘园	餐饮	正餐	4006608517	望湘园品牌成立于2002年6月，是一家专门经营中端精品湘菜的餐饮企业。公司秉承以“食”为尊的理念，在制作精品湘菜方面有独到的见解，在每一款菜肴的出品上都延续着湘菜原有的传统风味，并融入了适合上海及周边地区复合式口味及创新做法，为满足广大顾客多样化的需求，不懈努力。
1010011700050035	孩儿帮	儿童母婴	儿童用品		
1010011700050036	史努比乐园	儿童母婴	儿童用品	(010)62740475	
1010011700050037	小时代	儿童母婴	儿童用品		
1010011700050038	巴布豆	儿童母婴	儿童用品		巴布豆（英文名为BOBDOG ） , 1994年在上海设立了第一家巴布豆专柜， 并荣获「上海市著名商标」，「中国驰名品牌」，「最受欢迎的卡通品牌」和「全国市场放心消费品牌」等。
1010011700050039	disney baby	儿童母婴	母婴用品		
1010011700060000	苗乡楼	餐饮	正餐	010-82834581	苗乡楼[1] 作为最具民族特色的贵州菜餐厅，我们一直致力于为大家提供美味的贵州美食，体验传统的民族的饮食文化，为保证菜品口感正宗，我们选用来自贵州本土优质原材、调料等，精于变化、味尽其妙，将食色香味发挥得淋漓尽致，呈现出真正意义的精品黔菜。
1010011700060001	三元梅园	餐饮	冷饮	010-62911837	梅园乳品店创立于上世纪八十年代， 以经营宫廷奶品为特色。从第一家梅园台基厂店开业，到今天已发展到拥有三十家分店。在北京的大街小巷，不经意间，就会发现有三元梅园分店的身影。推开店门，小店内简单大方的装修和安静的环境总是想让人坐下来休息一下，而展柜里面花样繁多，样式精美的乳制品和西式小点心，更让人食指大动，欲罢不能
1010011700060002	兰瑜珈	体育	体育用品	010-82834101?82834102	
1010011700060003	美丽田园	其他	化妆品	010-82433948	美丽田园（BEAUTY FARM）美容发展有限公司始创于一九九三年，是中国著名美容美体SPA连锁中心之一，总部设于上海，目前已有113家分店。店内采用会员制管理，根据顾客皮肤和身体状况，建立针对性护肤方案。美丽田园于2013年12月全资收购了世界顶尖健发权威品牌——史云逊健发中心的中国区整体业务。
1010011700060004	金鼎轩	餐饮	正餐	010-82834107?4006766111	金鼎轩成立于1993年，是北京最具知名度和影响力的餐饮品牌之一，也是京城首家开创“二十四小时营业”理念的餐饮企业。企业全称为“北京金鼎轩酒楼有限责任公司”，拥有南北菜、南北点心专门店、大食堂3种连锁经营管理模式。金鼎轩以经营传统的川、鲁、粤、淮四大菜系为主，并不断开发新菜品，在传承并发展中华传统烹调技艺精华的同时，兼顾时尚，是京城餐饮业中融合了经典传统风味和时尚新品味的最佳典范。已通过ISO 22000食品安全管理体系认证。
1010011700060005	落院			010-69614833	
1010011700060006	眉州东坡酒楼	餐饮	正餐	010-82810962?4008527527	第一家眉州东坡酒楼于1996年6月6日在北京开业。2003年6月24日成立了以饭店管理、餐饮服务、食品加工及销售为主要经营范围的北京眉州酒店管理有限公司，并在京设立公司总部，包括物流中心、中央厨房，注册资金1亿元。
1010011700060007	眉州东坡酒楼	餐饮	正餐	010-82810962?4008527527	第一家眉州东坡酒楼于1996年6月6日在北京开业。2003年6月24日成立了以饭店管理、餐饮服务、食品加工及销售为主要经营范围的北京眉州酒店管理有限公司，并在京设立公司总部，包括物流中心、中央厨房，注册资金2亿元。
1010011700060008	胡椒厨房	餐饮	正餐	010-82810885	胡椒厨房(PEPPER LUNCH)所有食物都以铁板呈上，这块以专利技术打造的铁板，能在70秒内达到260℃的高温，之后又将温度保持在80℃，长达半小时，其间客人可以根据个人意愿自由烹饪，由此烧出来的肉质嫩滑而不失口感。为了防止客人烫伤，细心的店家还在烹饪的铁盘周围加装了防烫纸圈。
1010011700060009	巴厘泰	餐饮	正餐	010-82834015	
1010011700060010	胧月轩	餐饮	正餐		
1010011700060011	陈记火锅	餐饮	正餐	010-60606429?57217717	
1010011700060012	拿渡麻辣香锅	餐饮	正餐	010-82834087	拿渡麻辣香锅是史师傅以北京人喜爱的口味同时兼容四川、重庆等地方麻辣风味融合而来。尤其是在北京研发独创的麻辣香锅，受到社会各界人士的好评，其独特口味、香辣京城 、风靡全国，现成为京城同行业中的知名品牌。
1010011700060013	私家小厨	餐饮	正餐	010-60605138?4006082000	私家小厨位于金牛凯德广场核心商圈，是一家以私房菜为主的中式餐厅，温馨的室内装修、别具一格的室内摆放，使私家小厨成为适合年经白领及闺蜜小聚的佳选。店家将以精致的菜品、周到的服务恭候您的到来
1010011700060014	吉祥馄饨	餐饮	正餐		吉祥特色馄饨是秉承千年中国饮食文化传统--吉利祥瑞的馄饨与吉祥人的聪明果敢、勇于创新突破、追求品质的精益求精精神融汇而成，创造了“皮嫩、个大、馅多、味美”的新式特色馄饨，盛行上海、风靡大江南北、香飘京城，名扬海内外。
1010011700060015	巴贝拉	餐饮	快餐	010-82816715	巴贝拉是一家于2005年7月创立于上海浦东的全国连锁意式西餐厅，旗下拥有巴贝拉、果留仙、竹家庄避风塘、阿童木和家家送等多个品牌。
1010011700060016	麻辣诱惑	餐饮	正餐	010-82816797	麻辣诱惑集团由2002年创始于北京，旗下品牌包括麻辣诱惑品牌餐厅、麻辣诱惑食品和麻辣诱惑滚烫秀火锅三大高端品牌，是中国最具发展潜力、值得信赖的餐饮服务管理集团。现在北京已经有14家直营店，上海7家直营店，在2012年6月天津第二家直营餐饮店，大悦城店即将开业，同月将在南京开设一家直营店。...后续将会遍布全国。
1010011700060017	丝域美发	其他	化妆品		丝域[1] ，是一家在国内率先推出“HairSpa”理念，并一直致力于全面护理与调养头发头皮的专业美发品牌。 其依托集团企业与澳洲EASYCARE生物化学研究中心和中山大学生命科学院的先进科技和强大科研力量，将中国传统本草理论与西方生命科学先进技术结合，成功研发出适用于东方人头皮与发质的养发产品。其品牌旗下开设了专业的养发、滋养防脱、健发乌发、祛屑、调节油脂、敏感调理、头部减压、头部香薰SPA等护理项目，且门店设有专业理疗师提供头皮头发理疗服务。
1010011700060018	外婆家	餐饮	快餐	010-60603465	
1010011700070000	陕面居	餐饮	正餐	010-82834130	
1010011700070001	九分仙芋	餐饮	冷饮		
1010011700070002	吞云小莳	餐饮	正餐	010-82834085	
1010011700070003	权金城	餐饮	正餐	010-82834591	权金城国际控股集团，十二年前靠三十万元起家，经过短短几年跨越式的飞速发展，目前已成为一家集房产物业、酒店、高尔夫球场、餐饮、休闲娱乐、广告、文化、科贸物流于一体的大型民营企业，走上了产业化、多元化、规模化、国际化的发展道路。
1010011700070004	云海肴	餐饮	正餐	010-82834019	云海肴是北京心正意诚餐饮有限公司旗下品牌之一。公司创立于2009年10月08号，是四个“80后”年轻人一起创办的云南菜餐厅。
1010011700070005	雅山布艺	餐饮	快餐	010-82834072	
1010011700070007	i转角	餐饮	冷饮		
1010011700070008	将太无二	餐饮	正餐	010-82156252 82156520	将太无二是源自加拿大带有北美血统的新派创意料理餐厅。创始人身为加籍华人，他独具匠心地将北美风格创意美食融入东方美食料理。
1010011700070009	黄记煌	餐饮	正餐	010-82834365	北京黄记煌餐饮管理有限责任公司是一家从事餐饮连锁及饮食研究的民营企业，其主打菜品为“黄记煌三汁焖锅”。黄记煌自2003年创立以来，市场迅速发展，截止2012年底，经营店面已达360余家，覆盖了除西藏、港澳台地区以外所有省会城市，展现出了中式餐饮的特有风范，为实现中餐标准化及创建绿色健康、环保低碳的餐饮模式做出了突出贡献。
1010011700070010	西提牛排	餐饮	快餐	010-82834161	西提牛排(TASTY)是王品集团旗下八大品牌之一，以牛排为招牌的都会、时尚的直营连锁牛排馆，2001年于台北成立第一家店，2005年4月于上海成立第一家分店天鈅桥店。
1010011700070011	眉州小吃	餐饮	正餐		
1010011700070012	海底捞火锅	餐饮	正餐		海底捞成立于1994年，是一家以经营川味火锅为主、融汇各地火锅特色为一体的大型跨省直营餐饮品牌火锅店，全称是四川海底捞餐饮股份有限公司。在简阳、北京、上海、沈阳、天津、石家庄、西安、郑州、南京、广州、深圳、合肥、武汉等城市有直营连锁餐厅。
1010011700070013	爱有梅有	餐饮	零食	13911387058	
1010011700080000	七号厅				
1010011700080001	三号厅				
1010011700080002	二号厅				
1010011700080003	一号厅				
1010011700080004	售票厅				
1010011700080005	五号厅				
1010011700080006	六号厅				
1010011700080007	咖啡厅				
1010011700080008	四号厅				
1010011700090000	七号厅				
1010011700090001	三号厅				
1010011700090002	二号厅				
1010011700090003	一号厅				
1010011700090004	售票厅				
1010011700090005	五号厅				
1010011700090006	六号厅				
1010011700090007	咖啡厅				
1010011700090008	四号厅				
